accentuer 	accentuer 
acceptables 	accept
accepte 	accept
accepter 	accept
acceptera 	accept
accepté 	accept
acceptée 	accept
acceptés 	accept
accompagnaient 	accompagn
accompagnateurs 	accompagn
accompagnent 	accompagn
accompagner 	accompagn
accompagné 	accompagn
accompagnée 	accompagn
accompli 	accomp
affaiblissement 	affaibli
affaire 	affaire
affaires 	affaire
affectionne 	affect
affectueux 	affect
affecté 	affect
affectées 	affect
affichaient 	affich
affiche 	affich
affiches 	affich
affiché 	affich
affirmait 	affirm
affirmant 	affirm
affirmations 	affirm
affirme 	affirm
affirment 	affirm
affirmer 	affirm
affirmé 	affirm
